episode,reward,average_reward,epsilon,steps,loss
174,350.0,154.75,0.9166571514748953,91915,1.0267
175,25.0,152.9,0.916198822899158,92217,1.6468
176,335.0,155.8,0.9157407234877085,92931,0.8085
177,360.0,158.05,0.9152828531259647,93632,0.3111
178,140.0,157.65,0.9148252116994018,94158,0.3338
179,105.0,157.65,0.9143677990935521,94579,0.5930
180,410.0,160.55,0.9139106151940054,95125,0.7302
181,135.0,160.55,0.9134536598864085,95642,1.5065
182,305.0,161.8,0.9129969330564653,96496,0.7496
183,165.0,161.85,0.9125404345899372,97098,0.8893
184,60.0,161.7,0.9120841643726423,97631,0.2338
185,115.0,157.25,0.911628122290456,97978,0.5100
186,375.0,159.95,0.9111723082293108,98754,0.4803
187,135.0,159.6,0.9107167220751963,99406,0.4459
188,80.0,158.3,0.9102613637141588,99694,0.7973
189,60.0,158.1,0.9098062330323018,99980,0.3452
190,135.0,158.7,0.9093513299157857,100464,0.4698
191,135.0,155.35,0.9088966542508279,100976,0.2067
192,110.0,155.95,0.9084422059237025,101440,0.2491
193,55.0,155.15,0.9079879848207407,101727,0.2654
194,20.0,153.55,0.9075339908283304,102043,0.4312
195,10.0,152.6,0.9070802238329163,102433,0.3663
196,155.0,152.35,0.9066266837209999,102952,0.2862
197,55.0,151.05,0.9061733703791394,103254,0.5094
198,195.0,152.25,0.9057202836939499,103717,0.3205
199,110.0,152.3,0.9052674235521029,104175,0.7545
200,155.0,153.45,0.9048147898403269,104604,0.2752
201,160.0,154.15,0.9043623824454068,105096,0.2974
202,80.0,153.65,0.9039102012541841,105392,0.3284
203,210.0,154.4,0.9034582461535571,105871,0.5751
204,150.0,154.85,0.9030065170304803,106270,0.2013
205,150.0,155.15,0.9025550137719651,106764,0.2287
206,210.0,155.4,0.9021037362650792,107385,0.8070
207,20.0,153.45,0.9016526843969468,107726,0.2412
208,545.0,158.35,0.9012018580547484,108575,1.0231
209,135.0,157.25,0.900751257125721,108948,0.3846
210,150.0,157.7,0.9003008814971583,109436,0.2927
211,165.0,159.0,0.8998507310564098,109937,0.5253
212,80.0,157.7,0.8994008056908817,110216,0.6701
213,145.0,157.0,0.8989511052880362,110833,0.3458
214,80.0,155.25,0.8985016297353923,111137,1.1660
215,270.0,157.35,0.8980523789205246,111887,0.3880
216,210.0,157.35,0.8976033527310644,112536,0.5147
217,260.0,157.35,0.8971545510546989,113284,0.3325
218,210.0,155.35,0.8967059737791716,114024,1.0188
219,30.0,150.65,0.8962576207922821,114327,0.2144
220,155.0,151.1,0.895809491981886,114882,1.5471
221,210.0,151.1,0.8953615872358951,115475,0.3590
222,150.0,151.55,0.8949139064422772,116060,0.6799
223,90.0,151.4,0.8944664494890561,116556,0.3809
224,175.0,152.15,0.8940192162643116,117210,0.4094
225,140.0,152.35,0.8935722066561794,117676,1.2521
226,80.0,152.25,0.8931254205528514,118089,0.8900
227,110.0,150.05,0.8926788578425751,118476,1.0848
228,210.0,151.1,0.8922325184136538,119003,0.8886
229,60.0,151.55,0.891786402154447,119383,0.4285
230,40.0,151.25,0.8913405089533699,119796,0.2659
231,75.0,151.2,0.8908948386988933,120178,0.6057
232,210.0,151.25,0.8904493912795439,120783,0.9926
233,105.0,151.5,0.8900041665839042,121192,0.6741
234,210.0,151.9,0.8895591645006123,121693,0.4261
235,225.0,152.8,0.889114384918362,122462,2.0498
236,80.0,152.2,0.8886698277259029,122766,0.4084
237,70.0,150.2,0.88822549281204,123062,0.1625
238,445.0,154.05,0.887781380065634,123666,0.4019
239,140.0,154.65,0.8873374893756012,124171,0.3932
240,135.0,155.25,0.8868938206309135,124565,1.2868
241,80.0,151.95,0.8864503737205981,124855,2.2665
242,55.0,150.4,0.8860071485337379,125144,1.1839
243,195.0,150.5,0.885564144959471,125682,1.7918
244,120.0,150.6,0.8851213628869913,126151,1.3477
245,270.0,152.05,0.8846788022055478,126857,0.7888
246,90.0,152.45,0.8842364628044451,127215,3.6105
247,350.0,154.65,0.883794344573043,128125,1.6419
248,100.0,155.35,0.8833524474007565,128579,1.5162
249,195.0,156.1,0.8829107711770562,129196,0.8330
250,225.0,157.3,0.8824693157914677,130043,0.3048
251,120.0,156.95,0.882028081133572,130441,2.3566
252,130.0,156.7,0.8815870670930053,130912,1.1125
253,65.0,156.25,0.8811462735594588,131389,0.4967
254,120.0,156.1,0.8807057004226791,131769,0.3931
255,65.0,156.25,0.8802653475724679,132096,0.3277
256,415.0,158.8,0.8798252148986817,132720,0.7186
257,120.0,158.65,0.8793853022912325,133203,0.9304
258,210.0,158.5,0.8789456096400869,133698,0.4928
259,295.0,160.35,0.8785061368352669,134486,0.6001
260,110.0,159.1,0.8780668837668493,134867,0.5369
261,175.0,158.75,0.8776278503249659,135340,1.7428
262,110.0,159.25,0.8771890363998035,135829,1.3033
263,195.0,158.75,0.8767504418816037,136463,1.5824
264,140.0,159.3,0.876312066660663,137038,0.4606
265,155.0,158.3,0.8758739106273327,137559,0.4225
266,130.0,158.4,0.8754359736720191,138097,0.3303
267,425.0,160.75,0.8749982556851831,138830,0.5449
268,105.0,161.1,0.8745607565573406,139350,0.8404
269,225.0,162.3,0.8741234761790619,140071,0.4157
270,75.0,161.35,0.8736864144409725,140492,0.4270
271,215.0,162.45,0.873249571233752,141126,0.3028
272,410.0,165.35,0.8728129464481352,141754,1.4667
273,90.0,164.45,0.8723765399749112,142153,0.3482
274,360.0,164.55,0.8719403517049238,143007,0.3181
275,80.0,165.1,0.8715043815290714,143448,0.2073
276,135.0,163.1,0.8710686293383069,143989,1.0214
277,105.0,160.55,0.8706330950236377,144303,0.3122
278,475.0,163.9,0.870197778476126,145047,0.3400
279,95.0,163.8,0.869762679586888,145498,0.3057
280,5.0,159.75,0.8693277982470946,145755,1.0797
281,180.0,160.2,0.8688931343479711,146386,0.4233
282,105.0,158.2,0.8684586877807972,146809,0.7106
283,165.0,158.2,0.8680244584369068,147318,0.9023
284,515.0,162.75,0.8675904462076884,148170,0.8626
285,120.0,162.8,0.8671566509845846,148572,1.1096
286,450.0,163.55,0.8667230726590923,149249,1.8704
287,185.0,164.05,0.8662897111227629,149892,0.3786
288,85.0,164.1,0.8658565662672015,150281,0.2993
289,170.0,165.2,0.865423637984068,150811,0.4454
290,75.0,164.6,0.864990926165076,151270,0.7511
291,115.0,164.4,0.8645584307019936,151843,0.4824
292,100.0,164.3,0.8641261514866426,152210,0.4435
293,125.0,165.0,0.8636940884108993,152655,1.0806
294,355.0,168.35,0.8632622413666939,153627,1.0762
295,145.0,169.7,0.8628306102460106,154081,0.3586
296,165.0,169.8,0.8623991949408877,154775,0.8377
297,70.0,169.95,0.8619679953434173,155261,1.0848
298,210.0,170.1,0.8615370113457457,155888,1.2384
299,210.0,171.1,0.8611062428400729,156495,0.3854
300,110.0,170.65,0.8606756897186528,156969,1.5162
301,630.0,175.35,0.8602453518737936,157711,1.3126
302,210.0,176.65,0.8598152291978567,158285,0.4623
303,185.0,176.4,0.8593853215832578,158899,0.2237
304,55.0,175.45,0.8589556289224661,159302,0.3361
305,180.0,175.75,0.8585261511080049,160040,0.3073
306,135.0,175.0,0.858096888032451,160621,0.2298
307,160.0,176.4,0.8576678395884348,161429,0.3426
308,200.0,172.95,0.8572390056686406,161931,1.0858
309,185.0,173.45,0.8568103861658064,162548,0.2153
310,675.0,178.7,0.8563819809727236,163281,0.3400
311,135.0,178.4,0.8559537899822373,163913,1.4357
312,135.0,178.95,0.8555258130872462,164479,0.4443
313,115.0,178.65,0.8550980501807026,164968,0.5178
314,105.0,178.9,0.8546705011556123,165391,1.8133
315,65.0,176.85,0.8542431659050345,165680,0.5009
316,180.0,176.55,0.853816044322082,166282,0.7877
317,315.0,177.1,0.8533891362999211,166879,0.2730
318,185.0,176.85,0.8529624417317712,167612,0.6510
319,105.0,177.6,0.8525359605109053,167975,1.8169
320,150.0,177.55,0.8521096925306499,168460,0.4171
321,20.0,175.65,0.8516836376843847,168766,0.3754
322,70.0,174.85,0.8512577958655425,169165,0.8242
323,285.0,176.8,0.8508321669676098,170027,0.8957
324,80.0,175.85,0.850406750884126,170326,1.8899
325,140.0,175.85,0.8499815475086839,170812,0.6907
326,135.0,176.4,0.8495565567349297,171302,0.4914
327,65.0,175.95,0.8491317784565623,171649,0.3159
328,30.0,174.15,0.8487072125673341,172021,0.5202
329,640.0,179.95,0.8482828589610505,173215,0.2074
330,195.0,181.5,0.84785871753157,173831,1.1684
331,60.0,181.35,0.8474347881728043,174128,0.1703
332,80.0,180.05,0.847011070778718,174510,1.2112
333,105.0,180.05,0.8465875652433287,174822,2.1315
334,265.0,180.6,0.846164271460707,175552,0.3612
335,150.0,179.85,0.8457411893249768,176166,0.4872
336,190.0,180.95,0.8453183187303144,176835,1.4512
337,385.0,184.1,0.8448956595709493,177387,0.7453
338,110.0,180.75,0.8444732117411639,177863,1.0847
339,260.0,181.95,0.8440509751352934,178558,0.6760
340,240.0,183.0,0.8436289496477257,179163,0.2841
341,120.0,183.4,0.8432071351729019,179689,0.5416
342,395.0,186.8,0.8427855316053156,180377,0.1938
343,200.0,186.85,0.8423641388395129,181291,1.3474
344,265.0,188.3,0.8419429567700932,181956,0.6079
345,645.0,192.05,0.8415219852917082,182995,0.2682
346,295.0,194.1,0.8411012242990624,183723,0.3424
347,140.0,192.0,0.8406806736869129,184253,2.0077
348,310.0,194.1,0.8402603333500694,185066,0.5619
349,150.0,193.65,0.8398402031833945,185709,1.9413
350,85.0,192.25,0.8394202830818028,186188,0.6484
351,105.0,192.1,0.839000572940262,186758,0.2607
352,260.0,193.4,0.8385810726537919,187396,1.0279
353,210.0,194.85,0.8381617821174651,187939,0.4421
354,120.0,194.85,0.8377427012264064,188447,0.3117
355,505.0,199.25,0.8373238298757932,189181,0.1957
356,75.0,195.85,0.8369051679608553,189626,1.3039
357,125.0,195.9,0.8364867153768749,190059,0.3736
358,815.0,201.95,0.8360684720191865,191132,0.4112
359,165.0,200.65,0.835650437783177,191735,0.7852
360,10.0,199.65,0.8352326125642855,192196,1.3639
361,370.0,201.6,0.8348149962580034,193070,0.2021
362,360.0,204.1,0.8343975887598745,193939,0.7641
363,130.0,203.45,0.8339803899654946,194326,0.8519
364,275.0,204.8,0.833563399770512,195244,1.4074
365,315.0,206.4,0.8331466180706267,196054,0.4845
366,140.0,206.5,0.8327300447615915,196645,1.5167
367,155.0,203.8,0.8323136797392108,197035,0.3224
368,85.0,203.6,0.8318975228993413,197331,0.8292
369,85.0,202.2,0.8314815741378917,197750,1.2679
370,125.0,202.7,0.8310658333508228,198264,1.3822
371,135.0,201.9,0.8306503004341474,198800,0.3136
372,370.0,201.5,0.8302349752839304,199496,0.6526
373,120.0,201.8,0.8298198577962885,199971,0.3627
374,135.0,199.55,0.8294049478673904,200405,1.0284
375,120.0,199.95,0.8289902453934568,200877,0.3309
376,65.0,199.25,0.8285757502707601,201248,0.5920
377,95.0,199.15,0.8281614623956248,201646,0.7348
378,340.0,197.8,0.8277473816644271,202615,0.4045
379,90.0,197.75,0.827333507973595,202989,0.2483
380,210.0,199.8,0.8269198412196082,203718,0.5626
381,325.0,201.25,0.8265063812989984,204579,0.7040
382,45.0,200.65,0.826093128108349,205024,0.5856
383,215.0,201.15,0.8256800815442948,206009,0.2400
384,165.0,197.65,0.8252672415035227,206499,0.8565
385,175.0,198.2,0.824854607882771,206992,0.6585
386,120.0,194.9,0.8244421805788297,207551,0.5081
387,35.0,193.4,0.8240299594885403,208004,0.9300
388,115.0,193.7,0.8236179445087961,208423,0.4954
389,60.0,192.6,0.8232061355365418,208746,1.8920
390,85.0,192.7,0.8227945324687735,209222,0.3543
391,370.0,195.25,0.8223831352025393,209961,2.2370
392,90.0,195.15,0.821971943634938,210300,0.5496
393,290.0,196.8,0.8215609576631205,211061,0.9896
394,210.0,195.35,0.8211501771842891,211547,0.3504
395,90.0,194.8,0.820739602095697,212028,0.5243
396,20.0,193.35,0.8203292322946492,212392,0.4007
397,210.0,194.75,0.8199190676785019,212999,0.4317
398,110.0,193.75,0.8195091081446627,213462,0.9771
399,105.0,192.7,0.8190993535905904,214055,0.9343
400,135.0,192.95,0.8186898039137951,214491,0.4035
401,120.0,187.85,0.8182804590118382,214938,0.2347
402,65.0,186.4,0.8178713187823323,215351,1.1445
403,70.0,185.25,0.8174623831229412,215669,0.9373
404,285.0,187.55,0.8170536519313798,216495,0.2884
405,55.0,186.3,0.8166451251054142,216875,1.0499
406,70.0,185.65,0.8162368025428616,217280,0.6485
407,135.0,185.4,0.8158286841415902,218019,0.3364
408,210.0,185.5,0.8154207697995194,218635,0.6504
409,70.0,184.35,0.8150130594146197,219032,1.8682
410,90.0,178.5,0.8146055528849124,219508,0.8955
411,85.0,178.0,0.81419825010847,220013,0.1194
412,180.0,178.45,0.8137911509834158,220687,0.4732
413,65.0,177.95,0.8133842554079241,221071,0.3527
414,500.0,181.9,0.8129775632802202,222106,0.7167
415,180.0,183.05,0.8125710744985801,222583,0.3942
416,165.0,182.9,0.8121647889613309,223196,0.4489
417,60.0,180.35,0.8117587065668503,223479,0.5440
418,95.0,179.45,0.8113528272135669,224042,0.8610
419,270.0,181.1,0.8109471507999602,224737,0.4821
420,60.0,180.2,0.8105416772245603,225034,0.2505
421,25.0,180.25,0.8101364063859481,225412,0.3720
422,270.0,182.25,0.8097313381827551,226027,0.4239
423,215.0,181.55,0.8093264725136637,226711,2.2043
424,440.0,185.15,0.808921809277407,227838,2.3892
425,505.0,188.8,0.8085173483727683,228629,1.3146
426,115.0,188.6,0.808113089698582,229263,0.7525
427,80.0,188.75,0.8077090331537328,229559,0.2711
428,50.0,188.95,0.8073051786371559,230096,1.3130
429,155.0,184.1,0.8069015260478374,230456,1.3291
430,165.0,183.8,0.8064980752848135,230837,1.0972
431,80.0,184.0,0.8060948262471712,231170,0.2397
432,160.0,184.8,0.8056917788340476,231630,1.3539
433,135.0,185.1,0.8052889329446307,232126,0.2761
434,105.0,183.5,0.8048862884781584,232506,0.5461
435,290.0,184.9,0.8044838453339194,233250,1.0210
436,50.0,183.5,0.8040816034112525,233513,1.5076
437,45.0,180.1,0.8036795626095469,233838,0.9470
438,215.0,181.15,0.8032777228282422,234353,0.3680
439,320.0,181.75,0.8028760839668281,235172,0.5289
