episode,score,clipped_reward,average_score,epsilon,steps,loss
322,180.0,11.0,146.4,0.9696,167793,0.007251
323,125.0,9.0,145.8,0.9695,168360,0.004706
324,165.0,10.0,146.3,0.9694,168937,0.005468
325,20.0,3.0,145.2,0.9693,169212,0.004021
326,60.0,6.0,144.6,0.9692,169616,0.003194
327,60.0,6.0,143.0,0.9691,169929,0.004830
328,15.0,2.0,142.1,0.9690,170304,0.012269
329,455.0,17.0,145.9,0.9689,171011,0.014555
330,105.0,8.0,144.2,0.9688,171302,0.013229
331,105.0,8.0,144.1,0.9687,171693,0.009590
332,75.0,5.0,144.5,0.9686,172156,0.009311
333,210.0,12.0,144.2,0.9685,172771,0.008210
334,140.0,8.0,143.4,0.9685,173244,0.012564
335,150.0,10.0,140.3,0.9684,173696,0.008667
336,330.0,20.0,141.2,0.9683,174441,0.004609
337,230.0,15.0,143.1,0.9682,175276,0.010435
338,125.0,9.0,143.8,0.9681,175694,0.018787
339,135.0,9.0,144.4,0.9680,176200,0.005332
340,125.0,9.0,141.2,0.9679,176669,0.007863
341,105.0,6.0,140.7,0.9678,177123,0.003616
342,120.0,8.0,138.4,0.9677,177593,0.006416
343,105.0,6.0,138.7,0.9676,177960,0.010178
344,255.0,20.0,139.7,0.9675,178690,0.023406
345,110.0,7.0,140.1,0.9674,179134,0.004260
346,120.0,7.0,140.2,0.9673,179576,0.008007
347,240.0,15.0,140.8,0.9672,180256,0.012902
348,45.0,4.0,139.9,0.9671,180542,0.058031
349,20.0,3.0,139.1,0.9670,180909,0.006200
350,110.0,8.0,138.7,0.9669,181437,0.005208
351,120.0,8.0,138.1,0.9668,182007,0.012646
352,120.0,8.0,137.2,0.9667,182434,0.010352
353,80.0,7.0,135.8,0.9667,182733,0.011218
354,30.0,4.0,135.3,0.9666,183118,0.006939
355,110.0,7.0,135.3,0.9665,183562,0.008899
356,180.0,11.0,134.3,0.9664,184073,0.009381
357,135.0,9.0,135.3,0.9663,184520,0.006743
358,80.0,7.0,135.6,0.9662,185040,0.025029
359,105.0,6.0,135.6,0.9661,185539,0.006805
360,135.0,9.0,135.7,0.9660,186000,0.008448
361,155.0,11.0,135.1,0.9659,186595,0.007332
362,310.0,18.0,134.7,0.9658,187400,0.005057
363,135.0,9.0,135.0,0.9657,187855,0.005612
364,180.0,14.0,135.0,0.9656,188464,0.005275
365,125.0,12.0,135.2,0.9655,189108,0.007750
366,60.0,6.0,131.4,0.9654,189495,0.005205
367,330.0,23.0,133.3,0.9653,190271,0.006671
368,80.0,7.0,133.1,0.9652,190642,0.016376
369,45.0,5.0,131.9,0.9651,190940,0.012165
370,30.0,4.0,131.4,0.9650,191291,0.014344
371,210.0,12.0,132.4,0.9649,191849,0.044446
372,180.0,11.0,133.2,0.9649,192563,0.015022
373,105.0,6.0,129.6,0.9648,193026,0.016472
374,180.0,11.0,130.9,0.9647,193564,0.004867
375,155.0,10.0,131.3,0.9646,194032,0.010534
376,210.0,14.0,132.8,0.9645,194777,0.004630
377,55.0,5.0,132.7,0.9644,195070,0.006483
378,50.0,4.0,131.9,0.9643,195384,0.007149
379,200.0,13.0,132.6,0.9642,196055,0.006984
380,50.0,6.0,132.3,0.9641,196502,0.010939
381,60.0,6.0,132.0,0.9640,196902,0.011555
382,110.0,7.0,131.9,0.9639,197416,0.004686
383,65.0,6.0,131.3,0.9638,197782,0.005779
384,135.0,9.0,129.6,0.9637,198336,0.020115
385,135.0,9.0,129.8,0.9636,198921,0.004446
386,240.0,14.0,130.7,0.9635,199627,0.003823
387,110.0,7.0,130.7,0.9634,200059,0.015599
388,135.0,12.0,131.8,0.9633,200553,0.008783
389,55.0,5.0,131.8,0.9632,200835,0.008837
390,75.0,5.0,131.4,0.9631,201137,0.011655
391,35.0,4.0,131.0,0.9631,201507,0.013156
392,35.0,4.0,128.0,0.9630,201816,0.007719
393,210.0,12.0,128.7,0.9629,202420,0.009226
394,230.0,15.0,129.4,0.9628,203014,0.013950
395,155.0,10.0,129.6,0.9627,203468,0.006223
396,75.0,5.0,129.7,0.9626,203760,0.009291
397,20.0,3.0,126.3,0.9625,204066,0.016004
398,125.0,9.0,124.2,0.9624,204479,0.006056
399,95.0,7.0,124.4,0.9623,204833,0.005222
400,110.0,7.0,125.1,0.9622,205292,0.015889
401,70.0,6.0,125.2,0.9621,205622,0.006004
402,80.0,6.0,123.7,0.9620,206068,0.006061
403,595.0,15.0,129.3,0.9619,206908,0.007955
404,135.0,9.0,130.1,0.9618,207497,0.005552
405,95.0,7.0,129.5,0.9617,207964,0.002841
406,135.0,10.0,130.4,0.9616,208438,0.019443
407,105.0,6.0,130.1,0.9615,208914,0.004895
408,70.0,6.0,130.6,0.9614,209188,0.005941
409,320.0,9.0,133.2,0.9613,209754,0.010068
410,105.0,6.0,133.2,0.9613,210293,0.005992
411,150.0,10.0,133.8,0.9612,210842,0.008078
412,155.0,10.0,135.2,0.9611,211333,0.005244
413,85.0,6.0,134.6,0.9610,211716,0.013711
414,165.0,11.0,135.4,0.9609,212223,0.007704
415,95.0,8.0,135.7,0.9608,212707,0.010850
416,115.0,7.0,135.8,0.9607,213174,0.005673
417,115.0,8.0,134.8,0.9606,213590,0.013413
418,135.0,9.0,134.5,0.9605,213998,0.009466
419,80.0,6.0,134.8,0.9604,214404,0.015977
420,230.0,14.0,135.9,0.9603,215027,0.010484
421,260.0,18.0,134.8,0.9602,215694,0.010996
422,290.0,17.0,135.9,0.9601,216392,0.007808
423,195.0,16.0,136.7,0.9600,217021,0.009448
424,135.0,9.0,136.3,0.9599,217757,0.007994
425,135.0,9.0,137.5,0.9598,218154,0.020214
426,185.0,12.0,138.8,0.9597,218949,0.005464
427,160.0,11.0,139.8,0.9596,219533,0.005466
428,135.0,9.0,140.9,0.9595,220021,0.011072
429,105.0,9.0,137.4,0.9595,220538,0.008240
430,80.0,6.0,137.2,0.9594,221014,0.006863
431,225.0,14.0,138.4,0.9593,221625,0.040200
432,105.0,8.0,138.7,0.9592,222092,0.004622
433,35.0,3.0,136.9,0.9591,222507,0.010449
434,60.0,6.0,136.2,0.9590,222859,0.006714
435,260.0,16.0,137.2,0.9589,223577,0.007426
436,35.0,3.0,134.3,0.9588,223974,0.006981
437,155.0,10.0,133.6,0.9587,224501,0.011987
438,105.0,8.0,133.3,0.9586,224945,0.017593
439,180.0,11.0,133.8,0.9585,225541,0.003782
440,110.0,7.0,133.7,0.9584,226051,0.003934
441,65.0,6.0,133.2,0.9583,226342,0.006109
442,80.0,7.0,132.8,0.9582,226697,0.034215
443,75.0,5.0,132.6,0.9581,227061,0.008247
